True_index,Predicted_Sales
7,0.0
19,3763.353422119512
31,6301.439605268079
45,3829.388283260214
56,3759.947131030491
57,5491.068013527661
61,5635.962244428413
63,7452.94413213525
79,5087.107784009358
81,10246.553107211668
84,3371.8966268208046
86,7448.611345302839
90,4664.103146320374
96,5416.510823418883
105,0.0
108,5838.33858063045
124,14683.391284152707
126,6589.435543561504
133,6862.005012649519
146,5986.636568804363
151,0.0
160,8103.06548551397
164,7558.979374272928
167,10130.260585009613
190,0.0
194,7236.247469241614
206,10726.872491080716
214,0.0
217,10219.61088601549
220,9632.198693957765
221,7190.146198962054
225,6411.476487307353
226,4263.899505287161
232,8048.613462145993
250,5608.779914616577
264,6221.983975557439
269,7145.849798745502
271,7019.697971840491
280,8740.446551555606
281,0.0
284,3843.843146124368
302,7301.322777342263
323,6164.716201056571
327,0.0
336,4974.957447633241
351,4650.443061026863
377,5917.144869128913
382,4321.584920011544
388,7691.799885928967
392,0.0
402,0.0
408,6363.980238913276
427,6141.22840597551
466,0.0
469,0.0
472,0.0
477,0.0
508,5866.297968357104
513,11273.225972645281
516,6771.1323802275065
530,4696.499475805588
558,3200.107205553985
576,14274.385460178368
588,6906.978093826953
595,6335.061067803028
600,4944.369245676009
601,8347.467980529087
609,5081.0742832402475
612,5389.86078250387
615,7188.847249485488
625,4951.851770052257
632,0.0
645,5719.513768381773
666,5505.249112231221
668,5887.941678432005
672,10034.054089627514
699,17328.0910440687
717,5856.771991808762
737,4411.524710995911
744,7315.976667545405
747,16525.454272282645
764,7955.004909688024
775,6543.438746323577
788,0.0
795,8218.95165331134
802,9160.147170641078
811,8801.358239099718
840,10726.094887910778
849,12331.769109036915
859,7503.950011714757
871,0.0
872,12762.929101329628
881,4372.436517133341
883,7301.980607037509
890,5326.321446300095
896,7070.8116146560415
902,0.0
905,9190.454819033142
921,8886.337908902038
967,9190.351934801318
973,5773.746082289066
1001,3688.9862675261606
1016,0.0
1021,9021.46506821475
1026,4453.463200761659
1030,7559.2834732925585
1044,5680.573868251987
1063,9962.14966037414
1067,7679.698328428756
1075,8461.839641978791
1086,0.0
1097,4684.755226608202
1117,12730.730340003951
1122,5150.223422455624
1125,7646.216558864599
1129,5465.264774168077
1141,5831.575327225952
1149,0.0
1151,4737.887225161914
1159,5894.923350574143
1173,5989.0332230513
1184,0.0
1193,5746.01221110866
1241,5355.616107177398
1249,0.0
1250,6886.0973350392305
1261,0.0
1273,6987.678592888079
1282,0.0
1296,7319.335734481925
1309,2521.6694413703135
1332,5212.26923167262
1336,6556.576428181022
1357,5362.427504662729
1372,6350.275149202247
1374,6772.4702358120185
1378,10073.099359092339
1379,3821.858898257998
1384,10324.558705083015
1394,6153.360101460983
1398,2712.3582006791607
1399,4525.507487540063
1403,7533.61493410324
1409,11417.745620711567
1424,4095.794617037362
1430,6193.024143457868
1432,4795.768101989002
1448,6116.686002085766
1451,10349.698171016307
1452,7868.526888102666
1467,0.0
1470,4823.068536550051
1481,9658.202442688578
1523,3028.526545362711
1527,4939.52122681048
1546,4961.942441262648
1547,12549.983034962925
1567,3774.0880624773654
1592,9546.09618361073
1597,12228.52663204314
1601,0.0
1603,9469.612204080393
1640,5260.007402466016
1646,0.0
1651,0.0
1652,10771.392521068701
1670,0.0
